,epoch,load.txt.data.x,load.txt.data.y,load.txt.data.z
204977,2015-06-23 11:39:32.375,-1.6539764,9.702438,1.2515259
204979,2015-06-23 11:39:32.394,-1.6587372,9.591751,1.271759
204981,2015-06-23 11:39:32.414,-1.6623077,9.385849,1.3895874
204983,2015-06-23 11:39:32.434,-1.6789703,9.39299,1.2693787
204985,2015-06-23 11:39:32.454,-1.8289337,9.489395,1.0396729
204987,2015-06-23 11:39:32.474,-1.9550934,9.396561,0.81710815
204989,2015-06-23 11:39:32.493,-1.9324799,9.414413,0.6968994
204991,2015-06-23 11:39:32.515,-1.8836823,9.571518,0.90042114
204993,2015-06-23 11:39:32.533,-1.9146271,9.462021,0.9515991
204995,2015-06-23 11:39:32.555,-1.67659,9.052597,0.6659546
204997,2015-06-23 11:39:32.573,-1.7825165,9.014511,0.48147583
204999,2015-06-23 11:39:32.595,-1.8384552,9.2287445,0.5267029
205001,2015-06-23 11:39:32.614,-2.0395966,9.622696,0.7207031
205003,2015-06-23 11:39:32.634,-2.2764435,10.333237,1.3003235
205005,2015-06-23 11:39:32.654,-2.9631805,10.091629,1.9846802
205007,2015-06-23 11:39:32.674,-2.2752533,9.19899,1.913269
205009,2015-06-23 11:39:32.694,-0.6839752,9.204941,0.8873291
205011,2015-06-23 11:39:32.713,0.031326294,10.380844,0.4255371
205013,2015-06-23 11:39:32.733,-0.73039246,11.712662,-0.68014526
205015,2015-06-23 11:39:32.753,-2.3621368,12.113754,-0.12194824
205017,2015-06-23 11:39:32.773,-3.440445,10.730759,2.1144104
205019,2015-06-23 11:39:32.793,-1.2028961,9.209702,2.0310974
205021,2015-06-23 11:39:32.812,-0.1745758,9.018082,2.2286682
205023,2015-06-23 11:39:32.832,-0.3971405,9.719101,1.7740173
205025,2015-06-23 11:39:32.854,-0.7613373,9.83931,1.1313171
205027,2015-06-23 11:39:32.872,-0.97676086,9.472733,0.4517212
205029,2015-06-23 11:39:32.894,-0.6423187,9.341812,0.6635742
205031,2015-06-23 11:39:32.913,-0.19004822,9.563187,0.4933777
205033,2015-06-23 11:39:32.933,-0.4542694,9.700058,-0.057678223
205035,2015-06-23 11:39:32.953,-1.2814484,9.294205,0.2208252
205037,2015-06-23 11:39:32.973,-1.6289825,9.057358,0.21487427
205039,2015-06-23 11:39:32.993,-1.689682,8.971664,0.9599304
205041,2015-06-23 11:39:33.013,-1.3528595,9.07402,1.2931824
205043,2015-06-23 11:39:33.032,-1.0957794,9.936905,-0.38259888
205045,2015-06-23 11:39:33.052,-1.6420746,11.233017,-0.53375244
205047,2015-06-23 11:39:33.072,-1.965805,11.158035,0.41482544
205049,2015-06-23 11:39:33.092,-0.84703064,10.968796,-0.057678223
205051,2015-06-23 11:39:33.111,-1.3504791,11.463913,1.0075378
205053,2015-06-23 11:39:33.132,-4.6258698,12.092331,3.946106
205055,2015-06-23 11:39:33.151,-2.9179535,11.745987,2.189392
205057,2015-06-23 11:39:33.171,-2.1955109,11.456772,2.445282
205059,2015-06-23 11:39:33.191,-2.1728973,11.723373,0.63739014
205061,2015-06-23 11:39:33.211,-1.0862579,10.874771,1.9108887
205063,2015-06-23 11:39:33.232,-0.90415955,9.652451,2.9725342
205065,2015-06-23 11:39:33.252,-2.760849,7.7588654,3.6949768
205067,2015-06-23 11:39:33.272,-3.6832428,7.480362,3.241516
205069,2015-06-23 11:39:33.292,-3.459488,8.863358,2.3822021
205071,2015-06-23 11:39:33.312,-2.1859894,9.77742,2.6035767
205073,2015-06-23 11:39:33.332,-1.246933,10.41655,3.4033813
205075,2015-06-23 11:39:33.352,-1.2766876,10.683151,3.2617493
205077,2015-06-23 11:39:33.371,-1.6884918,9.770279,3.3343506
205079,2015-06-23 11:39:33.391,-2.0538788,9.354904,2.6261902
205081,2015-06-23 11:39:33.411,-1.9753265,9.144241,2.7237854
205083,2015-06-23 11:39:33.431,-2.1431427,8.913345,2.8142395
205085,2015-06-23 11:39:33.451,-1.5718536,8.469406,2.4369507
205087,2015-06-23 11:39:33.471,-1.7313385,8.031418,2.1846313
205089,2015-06-23 11:39:33.490,-1.9836578,7.902878,1.3003235
205091,2015-06-23 11:39:33.512,-2.2502594,7.8517,1.097992
205093,2015-06-23 11:39:33.530,-2.4109344,7.699356,1.0587158
205095,2015-06-23 11:39:33.552,-2.0134125,7.544632,0.89208984
205097,2015-06-23 11:39:33.571,-2.2133636,7.9385834,0.5255127
205099,2015-06-23 11:39:33.592,-2.8108368,8.361099,0.6957092
205101,2015-06-23 11:39:33.611,-2.3430939,8.1575775,1.0801392
205103,2015-06-23 11:39:33.631,-1.3183441,7.935013,1.0039673
205105,2015-06-23 11:39:33.651,-0.52449036,7.7612457,0.7944946
205107,2015-06-23 11:39:33.671,-1.0517426,8.231369,0.26486206
205109,2015-06-23 11:39:33.690,-2.2062225,9.240646,0.18988037
205111,2015-06-23 11:39:33.710,-3.6618195,9.879776,0.74331665
205113,2015-06-23 11:39:33.730,-4.519943,10.99379,0.113708496
