,epoch,load.txt.data.x,load.txt.data.y,load.txt.data.z
145289,2015-06-23 11:29:29.572,-0.58280945,9.826218,1.0063477
145291,2015-06-23 11:29:29.592,-0.58638,9.836929,1.0503845
145293,2015-06-23 11:29:29.611,-0.58638,9.929764,1.0587158
145295,2015-06-23 11:29:29.631,-0.51734924,9.923813,1.0896606
145297,2015-06-23 11:29:29.651,-0.48164368,9.90358,1.1872559
145299,2015-06-23 11:29:29.671,-0.52211,9.954758,1.1801147
145301,2015-06-23 11:29:29.690,-0.6113739,9.913101,1.0622864
145303,2015-06-23 11:29:29.711,-0.72325134,9.871445,1.0063477
145305,2015-06-23 11:29:29.730,-0.7422943,9.930954,1.0515747
145307,2015-06-23 11:29:29.750,-0.6435089,9.90239,1.0194397
145309,2015-06-23 11:29:29.770,-0.51734924,9.7548065,1.0194397
145311,2015-06-23 11:29:29.790,-0.40785217,9.708389,1.0349121
145313,2015-06-23 11:29:29.812,-0.32453918,9.808365,1.1015625
145315,2015-06-23 11:29:29.831,-0.36619568,9.991653,1.1253662
145317,2015-06-23 11:29:29.851,-0.49235535,9.990463,1.072998
145319,2015-06-23 11:29:29.871,-0.50782776,9.90834,1.1515503
145321,2015-06-23 11:29:29.891,-0.50782776,9.835739,1.2693787
145323,2015-06-23 11:29:29.911,-0.503067,9.883347,1.2884216
145325,2015-06-23 11:29:29.930,-0.46617126,9.798843,1.2634277
145327,2015-06-23 11:29:29.950,-0.4875946,9.597702,1.1634521
145329,2015-06-23 11:29:29.970,-0.55067444,9.495346,1.1670227
145331,2015-06-23 11:29:29.990,-0.58638,9.573898,1.1551208
145333,2015-06-23 11:29:30.010,-0.7327728,9.740524,1.1694031
145335,2015-06-23 11:29:30.030,-0.69825745,9.863113,1.1527405
145337,2015-06-23 11:29:30.051,-0.5697174,9.948807,1.2753296
145339,2015-06-23 11:29:30.069,-0.48640442,9.929764,1.5097961
145341,2015-06-23 11:29:30.091,-0.31739807,9.872635,1.5633545
145343,2015-06-23 11:29:30.109,-0.4875946,9.939285,1.207489
145345,2015-06-23 11:29:30.131,-1.0338898,9.673874,0.6897583
145347,2015-06-23 11:29:30.150,-1.2183685,9.3918,0.1875
145349,2015-06-23 11:29:30.170,-1.3052521,9.616745,-0.12789917
145351,2015-06-23 11:29:30.190,-1.5587616,10.114243,-0.70751953
145353,2015-06-23 11:29:30.210,-1.8694,10.629593,-1.3180847
145355,2015-06-23 11:29:30.230,-1.7741852,10.86644,-1.1764526
145357,2015-06-23 11:29:30.250,-1.4087982,11.4353485,-0.620636
145359,2015-06-23 11:29:30.269,-1.0648346,11.776932,-0.6670532
145361,2015-06-23 11:29:30.289,-1.2374115,10.768845,-0.5147095
145363,2015-06-23 11:29:30.309,-1.3123932,9.677444,0.072052
145365,2015-06-23 11:29:30.329,-1.2243195,8.915726,0.36602783
145367,2015-06-23 11:29:30.349,-1.1219635,8.708633,0.25653076
145369,2015-06-23 11:29:30.369,-1.1552887,9.068069,-0.060058594
145371,2015-06-23 11:29:30.390,-1.6599274,9.4917755,-0.5682678
145373,2015-06-23 11:29:30.408,-1.7301483,9.514389,-0.7003784
145375,2015-06-23 11:29:30.430,-1.7241974,9.440598,-0.32904053
145377,2015-06-23 11:29:30.448,-1.1529083,9.613174,-0.47543335
145379,2015-06-23 11:29:30.470,-0.6363678,9.727432,-0.5635071
145381,2015-06-23 11:29:30.489,-0.6851654,9.569138,-0.45043945
145383,2015-06-23 11:29:30.509,-1.1588593,9.406082,-0.10171509
145385,2015-06-23 11:29:30.529,-1.1386261,9.704819,0.07562256
145387,2015-06-23 11:29:30.549,-0.9815216,10.433212,-0.07077026
145389,2015-06-23 11:29:30.569,-1.0743561,10.697433,0.15655518
145391,2015-06-23 11:29:30.588,-0.8565521,10.635544,0.29580688
145393,2015-06-23 11:29:30.608,-0.701828,10.147568,0.34817505
145395,2015-06-23 11:29:30.628,-0.68873596,9.665543,0.4338684
145397,2015-06-23 11:29:30.648,-0.69825745,9.596512,0.6016846
145399,2015-06-23 11:29:30.668,-0.5959015,9.726242,1.0801392
145401,2015-06-23 11:29:30.687,-0.6363678,9.915482,1.5335999
145403,2015-06-23 11:29:30.709,-0.79585266,9.544144,1.8537598
145405,2015-06-23 11:29:30.729,-0.7101593,9.26445,1.7490234
145407,2015-06-23 11:29:30.747,-0.48402405,9.0811615,1.803772
145409,2015-06-23 11:29:30.769,-0.31263733,9.157333,1.5621643
