,epoch,load.txt.data.x,load.txt.data.y,load.txt.data.z
115531,2015-06-23 11:24:26.782,-0.5197296,9.802414,1.4110107
115533,2015-06-23 11:24:26.803,-0.41856384,9.686966,1.8930359
115535,2015-06-23 11:24:26.822,-0.41261292,9.717911,2.0203857
115537,2015-06-23 11:24:26.844,-0.50782776,9.684586,1.98349
115539,2015-06-23 11:24:26.862,-0.618515,9.446548,2.092987
115541,2015-06-23 11:24:26.882,-0.6958771,9.216843,2.2953186
115543,2015-06-23 11:24:26.903,-0.7613373,9.183517,2.3988647
115545,2015-06-23 11:24:26.923,-0.80656433,9.387039,2.3988647
115547,2015-06-23 11:24:26.943,-0.73991394,9.673874,2.1917725
115549,2015-06-23 11:24:26.963,-0.6197052,9.954758,2.123932
115551,2015-06-23 11:24:26.983,-0.5697174,10.047592,2.041809
115553,2015-06-23 11:24:27.003,-0.2328949,9.919052,1.9442139
115555,2015-06-23 11:24:27.022,-0.041275024,9.697678,1.98349
115557,2015-06-23 11:24:27.042,-0.2328949,9.497726,2.0049133
115559,2015-06-23 11:24:27.062,-0.28645325,9.303726,1.8799438
115561,2015-06-23 11:24:27.082,-0.110305786,9.231125,2.0917969
115563,2015-06-23 11:24:27.102,-0.086502075,9.240646,2.3274536
115565,2015-06-23 11:24:27.121,0.24555969,9.297775,2.0941772
115567,2015-06-23 11:24:27.142,0.78471375,9.233505,1.9584961
115569,2015-06-23 11:24:27.161,1.4774017,8.9657135,2.3262634
115571,2015-06-23 11:24:27.183,2.0486908,8.657455,2.9939575
115573,2015-06-23 11:24:27.201,1.6821136,8.589615,3.2772217
115575,2015-06-23 11:24:27.221,-0.900589,9.866684,3.343872
115577,2015-06-23 11:24:27.240,-3.6796722,12.948074,4.169861
115579,2015-06-23 11:24:27.262,-2.5716095,13.252762,2.0108643
115581,2015-06-23 11:24:27.280,-0.8827362,11.268723,-0.43615723
115583,2015-06-23 11:24:27.302,-0.06626892,9.96666,0.5743103
115585,2015-06-23 11:24:27.321,1.0703583,8.819321,1.7109375
115587,2015-06-23 11:24:27.341,1.6606903,7.627945,2.2810364
115589,2015-06-23 11:24:27.361,1.6273651,6.8686066,2.7440186
115591,2015-06-23 11:24:27.381,1.2524567,6.5091705,2.5643005
115593,2015-06-23 11:24:27.401,0.93348694,6.229477,1.714508
115595,2015-06-23 11:24:27.421,0.86564636,5.967636,0.8468628
115597,2015-06-23 11:24:27.440,1.1786652,5.773636,1.0741882
115599,2015-06-23 11:24:27.460,1.8392181,5.7653046,1.4276733
115601,2015-06-23 11:24:27.480,3.0710602,6.9543,1.3193665
115603,2015-06-23 11:24:27.500,2.787796,9.024033,-0.07791138
115605,2015-06-23 11:24:27.519,0.6014252,13.106369,-0.68252563
115607,2015-06-23 11:24:27.540,-0.04484558,18.743088,2.3203125
115609,2015-06-23 11:24:27.561,-0.7994232,19.409592,1.0111084
115611,2015-06-23 11:24:27.579,-2.2966766,17.682632,-1.1728821
115613,2015-06-23 11:24:27.601,-2.7727509,16.662643,-1.2680969
115615,2015-06-23 11:24:27.619,-1.1945648,15.176102,0.14346313
115617,2015-06-23 11:24:27.641,0.37409973,15.271317,5.312439
115619,2015-06-23 11:24:27.660,-2.4740143,13.682419,5.2957764
115621,2015-06-23 11:24:27.680,-3.9557953,12.588638,2.2893677
115623,2015-06-23 11:24:27.700,-0.90534973,11.962601,4.409088
115625,2015-06-23 11:24:27.720,0.044418335,10.984268,10.088654
115627,2015-06-23 11:24:27.740,0.2122345,8.765762,8.723511
115629,2015-06-23 11:24:27.759,-1.8979645,7.0983124,6.075348
115631,2015-06-23 11:24:27.779,-3.094101,7.1423492,4.8732605
115633,2015-06-23 11:24:27.799,-3.3166656,8.283737,4.5007324
115635,2015-06-23 11:24:27.819,-1.016037,10.011887,4.8911133
115637,2015-06-23 11:24:27.839,-0.43403625,8.743149,4.703064
115639,2015-06-23 11:24:27.858,2.1855621,6.294937,4.255554
115641,2015-06-23 11:24:27.878,3.6006927,5.1237946,3.2486572
115643,2015-06-23 11:24:27.898,3.4900055,3.1623688,2.3536377
115645,2015-06-23 11:24:27.918,2.5676117,0.8236542,1.8370972
115647,2015-06-23 11:24:27.938,1.7916107,0.16548157,1.8977966
115649,2015-06-23 11:24:27.959,0.027755737,0.14524841,1.1586914
115651,2015-06-23 11:24:27.979,0.7894745,1.6639252,1.220581
115653,2015-06-23 11:24:27.999,-0.46974182,3.401596,1.143219
115655,2015-06-23 11:24:28.019,-3.0072174,8.123062,0.28390503
115657,2015-06-23 11:24:28.039,-6.2957,15.827133,2.644043
115659,2015-06-23 11:24:28.059,-8.034561,19.089432,3.9806213
115661,2015-06-23 11:24:28.078,-2.1812286,16.216324,-4.1447754
115663,2015-06-23 11:24:28.098,0.119400024,13.600296,-0.8277283
115665,2015-06-23 11:24:28.118,4.1576996,13.541977,2.7630615
115667,2015-06-23 11:24:28.138,7.546158,14.776199,1.5823975
115669,2015-06-23 11:24:28.157,6.232193,13.165878,7.807068
115671,2015-06-23 11:24:28.178,14.858658,15.353439,17.328552
115673,2015-06-23 11:24:28.197,8.0746,13.359879,1.3515015
115675,2015-06-23 11:24:28.217,3.0103607,6.0033417,-0.7598877
115677,2015-06-23 11:24:28.236,-3.780838,3.7324677,9.932739
115679,2015-06-23 11:24:28.257,-7.475174,11.498428,8.4652405
