,epoch,load.txt.data.x,load.txt.data.y,load.txt.data.z
270194,2015-06-23 11:50:31.387,0.3264923,10.089249,-0.23501587
270196,2015-06-23 11:50:31.407,0.3764801,10.536758,-0.20526123
270198,2015-06-23 11:50:31.427,0.27174377,10.818832,-0.27191162
270200,2015-06-23 11:50:31.447,0.10392761,10.697433,-0.38616943
270202,2015-06-23 11:50:31.467,0.19914246,10.579605,-0.43615723
270204,2015-06-23 11:50:31.486,0.0884552,10.453445,-0.48495483
270206,2015-06-23 11:50:31.506,0.17295837,10.434402,-0.27548218
270208,2015-06-23 11:50:31.526,-0.2650299,10.274918,-0.026733398
270210,2015-06-23 11:50:31.546,-0.88630676,9.961899,-0.027923584
270212,2015-06-23 11:50:31.566,-1.3647614,9.512009,-0.019592285
270214,2015-06-23 11:50:31.586,-1.4802094,9.172806,0.18392944
270216,2015-06-23 11:50:31.605,-2.0574493,9.32634,0.46124268
270218,2015-06-23 11:50:31.627,-2.3657074,9.952377,0.64334106
270220,2015-06-23 11:50:31.645,-1.4028473,10.010696,0.37911987
270222,2015-06-23 11:50:31.667,-0.5601959,9.577469,0.73617554
270224,2015-06-23 11:50:31.687,-0.12220764,9.39061,1.2122498
270226,2015-06-23 11:50:31.707,-0.45903015,9.350143,1.752594
270228,2015-06-23 11:50:31.726,-1.2481232,9.068069,1.9918213
270230,2015-06-23 11:50:31.746,-1.3861847,8.8502655,1.7276001
270232,2015-06-23 11:50:31.766,-1.3040619,8.957382,1.6288147
270234,2015-06-23 11:50:31.786,-2.0717316,9.476303,1.5621643
270236,2015-06-23 11:50:31.806,-1.8313141,10.273727,1.4169617
270238,2015-06-23 11:50:31.825,-1.6968231,10.797409,1.2527161
270240,2015-06-23 11:50:31.846,-1.1017303,10.852158,0.9051819
270242,2015-06-23 11:50:31.865,-0.8732147,10.521286,0.51242065
270244,2015-06-23 11:50:31.885,-0.90296936,10.232071,0.46243286
270246,2015-06-23 11:50:31.905,-1.5968475,9.729813,0.56359863
270248,2015-06-23 11:50:31.926,-2.2966766,9.321579,0.73498535
270250,2015-06-23 11:50:31.946,-2.1883698,9.182327,0.82662964
270252,2015-06-23 11:50:31.966,-2.9131927,9.720291,0.6076355
270254,2015-06-23 11:50:31.986,-2.8394012,9.978561,0.3446045
270256,2015-06-23 11:50:32.006,-2.671585,9.791702,0.27438354
270258,2015-06-23 11:50:32.025,-2.3514252,9.671494,-0.035064697
270260,2015-06-23 11:50:32.046,-1.9955597,9.441788,-0.2909546
270262,2015-06-23 11:50:32.065,-2.266922,9.32753,-0.6765747
270264,2015-06-23 11:50:32.085,-2.6846771,8.994278,-0.5516052
270266,2015-06-23 11:50:32.105,-3.0548248,8.924057,0.033966064
270268,2015-06-23 11:50:32.125,-3.0786285,8.9431,0.38269043
270270,2015-06-23 11:50:32.144,-2.7061005,9.191849,0.270813
270272,2015-06-23 11:50:32.164,-2.2490692,9.632217,0.35531616
270274,2015-06-23 11:50:32.186,-1.9777069,9.689346,-0.021972656
270276,2015-06-23 11:50:32.204,-1.8824921,9.883347,-0.86938477
270278,2015-06-23 11:50:32.226,-2.2205048,10.199936,-0.6872864
270280,2015-06-23 11:50:32.244,-2.25383,11.091385,0.18630981
270282,2015-06-23 11:50:32.266,-1.8622589,12.372025,0.84329224
270284,2015-06-23 11:50:32.285,-1.3790436,12.767166,1.1896362
270286,2015-06-23 11:50:32.305,-1.5456696,11.740036,0.418396
270288,2015-06-23 11:50:32.325,-2.0181732,10.076157,0.08276367
270290,2015-06-23 11:50:32.345,-1.7813263,9.177567,0.22796631
270292,2015-06-23 11:50:32.365,-1.6301727,8.821701,0.6159668
270294,2015-06-23 11:50:32.384,-1.048172,8.513443,0.8647156
270296,2015-06-23 11:50:32.404,-0.38642883,8.501541,1.0634766
270298,2015-06-23 11:50:32.424,0.23246765,8.797897,0.97540283
270300,2015-06-23 11:50:32.444,-0.35072327,9.195419,1.0444336
270302,2015-06-23 11:50:32.463,0.4419403,10.311813,1.5812073
270304,2015-06-23 11:50:32.483,0.74424744,10.900955,1.6728516
270306,2015-06-23 11:50:32.503,0.37052917,10.753372,1.5978699
270308,2015-06-23 11:50:32.523,-1.7908478,9.816696,1.0587158
270310,2015-06-23 11:50:32.543,-1.6349335,9.597702,0.63500977
270312,2015-06-23 11:50:32.563,-1.0315094,9.719101,0.5231323
270314,2015-06-23 11:50:32.584,-0.2566986,9.909531,0.61120605
270316,2015-06-23 11:50:32.604,0.5431061,9.978561,0.565979
270318,2015-06-23 11:50:32.624,0.9049225,9.84288,0.14941406
270320,2015-06-23 11:50:32.644,-0.5804291,9.282303,-0.049346924
270322,2015-06-23 11:50:32.664,0.5181122,9.791702,0.00064086914
270324,2015-06-23 11:50:32.684,0.2872162,10.171371,0.030395508
270326,2015-06-23 11:50:32.703,-0.056747437,10.276108,-0.1005249
270328,2015-06-23 11:50:32.723,-0.19599915,10.049973,-0.19216919
270330,2015-06-23 11:50:32.743,0.06703186,9.671494,-0.4706726
270332,2015-06-23 11:50:32.763,0.12892151,9.45488,-0.70751953
270334,2015-06-23 11:50:32.782,0.1789093,9.126389,-0.84677124
270336,2015-06-23 11:50:32.803,0.2205658,8.969284,-0.5789795
270338,2015-06-23 11:50:32.822,0.12416077,9.162094,-0.42425537
270340,2015-06-23 11:50:32.844,0.017044067,9.433456,-0.096954346
270342,2015-06-23 11:50:32.862,-0.09126282,9.785751,0.14108276
270344,2015-06-23 11:50:32.882,-0.4149933,10.329666,-0.5206604
270346,2015-06-23 11:50:32.903,-0.91963196,10.703384,-0.81225586
270348,2015-06-23 11:50:32.923,-0.26860046,10.603409,-0.64801025
270350,2015-06-23 11:50:32.943,-0.30906677,10.658157,0.05657959
270352,2015-06-23 11:50:32.963,-1.1993256,11.83049,0.27319336
270354,2015-06-23 11:50:32.983,-2.2121735,12.836197,0.6338196
270356,2015-06-23 11:50:33.003,-2.9417572,12.886185,0.76950073
270358,2015-06-23 11:50:33.022,-2.036026,11.393692,0.2874756
270360,2015-06-23 11:50:33.042,-1.2885895,9.597702,0.49813843
270362,2015-06-23 11:50:33.062,-0.25907898,8.490829,0.9456482
270364,2015-06-23 11:50:33.082,-0.1912384,7.575577,1.2753296
270366,2015-06-23 11:50:33.102,-1.0136566,7.0661774,1.1896362
270368,2015-06-23 11:50:33.122,-1.7372894,7.436325,0.95755005
270370,2015-06-23 11:50:33.142,-1.7170563,8.801468,1.1610718
270372,2015-06-23 11:50:33.161,-2.2276459,10.61293,1.3824463
270374,2015-06-23 11:50:33.183,-1.8444061,11.661484,1.2408142
270376,2015-06-23 11:50:33.201,-0.8767853,11.425827,0.8944702
270378,2015-06-23 11:50:33.223,0.18367004,10.451065,0.52075195
270380,2015-06-23 11:50:33.242,-0.9827118,9.760757,0.24105835
270382,2015-06-23 11:50:33.263,-1.8336945,9.686966,0.21844482
270384,2015-06-23 11:50:33.282,-2.6299286,9.627457,0.14941406
270386,2015-06-23 11:50:33.302,-2.946518,9.433456,0.060150146
270388,2015-06-23 11:50:33.322,-2.5121002,9.463211,-0.15646362
270390,2015-06-23 11:50:33.342,-2.0753021,9.719101,-0.3885498
270392,2015-06-23 11:50:33.361,-1.6004181,9.946426,-0.5194702
270394,2015-06-23 11:50:33.381,-1.7670441,9.836929,-0.60635376
270396,2015-06-23 11:50:33.401,-2.4299774,9.623886,-0.5718384
270398,2015-06-23 11:50:33.421,-2.4894867,9.335861,-0.6515808
270400,2015-06-23 11:50:33.440,-2.7120514,8.909775,-0.78012085
270402,2015-06-23 11:50:33.460,-2.8346405,8.581284,-0.41592407
270404,2015-06-23 11:50:33.480,-2.3787994,8.896683,-0.041015625
270406,2015-06-23 11:50:33.500,-1.2112274,10.03569,-0.13623047
270408,2015-06-23 11:50:33.520,-0.3316803,10.792648,0.2374878
270410,2015-06-23 11:50:33.540,-0.3566742,10.22374,0.31604004
270412,2015-06-23 11:50:33.562,-0.7672882,9.965469,-0.29333496
270414,2015-06-23 11:50:33.581,-1.3921356,10.337997,-0.30999756
270416,2015-06-23 11:50:33.601,-2.196701,11.079483,0.5481262
270418,2015-06-23 11:50:33.621,-2.524002,12.2113495,0.5921631
270420,2015-06-23 11:50:33.641,-2.8774872,12.33989,0.27557373
270422,2015-06-23 11:50:33.661,-3.3226166,10.99736,0.27676392
270424,2015-06-23 11:50:33.680,-3.1762238,9.563187,-0.12432861
270426,2015-06-23 11:50:33.700,-2.241928,8.868118,0.066101074
270428,2015-06-23 11:50:33.720,-1.3278656,8.740768,0.29937744
270430,2015-06-23 11:50:33.740,-0.753006,8.669357,0.72784424
270432,2015-06-23 11:50:33.760,-0.38642883,8.927628,1.0563354
270434,2015-06-23 11:50:33.779,-0.2745514,9.1644745,1.361023
270436,2015-06-23 11:50:33.801,-0.9089203,9.20256,1.425293
270438,2015-06-23 11:50:33.819,-0.4875946,9.767899,1.6216736
270440,2015-06-23 11:50:33.841,0.18367004,10.471298,1.7252197
270442,2015-06-23 11:50:33.859,0.027755737,10.631973,1.6026306
270444,2015-06-23 11:50:33.880,-1.2290802,10.073776,1.3217468
270446,2015-06-23 11:50:33.900,-1.3838043,9.485825,1.1646423
270448,2015-06-23 11:50:33.920,-1.0196075,9.32872,0.9206543
270450,2015-06-23 11:50:33.940,-0.46022034,9.356094,0.6921387
270452,2015-06-23 11:50:33.960,0.20985413,9.415604,0.40649414
270454,2015-06-23 11:50:33.980,0.27531433,9.58342,0.22439575
270456,2015-06-23 11:50:34.000,0.69664,10.249924,0.1541748
270458,2015-06-23 11:50:34.019,0.5264435,10.234451,0.018493652
270460,2015-06-23 11:50:34.039,0.4181366,10.047592,-0.107666016
270462,2015-06-23 11:50:34.059,0.42051697,9.859543,-0.31713867
270464,2015-06-23 11:50:34.079,0.5062103,9.560806,-0.6539612
270466,2015-06-23 11:50:34.099,0.8608856,9.406082,-0.8479614
270468,2015-06-23 11:50:34.119,1.1643829,9.254929,-0.71585083
270470,2015-06-23 11:50:34.140,1.0084686,9.187088,-0.20050049
270472,2015-06-23 11:50:34.158,0.47288513,9.323959,-0.4147339
270474,2015-06-23 11:50:34.180,0.018234253,9.564377,0.60287476
270476,2015-06-23 11:50:34.198,-0.64112854,9.810745,0.6338196
270478,2015-06-23 11:50:34.220,-1.792038,10.277298,-0.8015442
270480,2015-06-23 11:50:34.239,-1.03508,10.900955,-1.6334839
270482,2015-06-23 11:50:34.259,0.58833313,10.577225,-0.81225586
270484,2015-06-23 11:50:34.279,0.39671326,10.658157,0.598114
270486,2015-06-23 11:50:34.299,-0.28764343,12.094711,0.8444824
270488,2015-06-23 11:50:34.319,-1.6408844,12.016159,0.43624878
270490,2015-06-23 11:50:34.338,-2.4621124,11.654343,0.335083
270492,2015-06-23 11:50:34.358,-2.7644196,11.099716,0.33151245
270494,2015-06-23 11:50:34.378,-2.3454742,10.190414,0.52194214
270496,2015-06-23 11:50:34.398,-1.4849701,9.152573,0.97302246
270498,2015-06-23 11:50:34.418,-0.38404846,8.36705,1.3169861
270500,2015-06-23 11:50:34.437,0.23246765,7.921921,1.2062988
270502,2015-06-23 11:50:34.457,-0.291214,8.256363,1.105133
