,epoch,load.txt.data.x,load.txt.data.y,load.txt.data.z
248519,2015-06-23 11:46:52.536,1.4524078,9.545334,2.0037231
248521,2015-06-23 11:46:52.556,1.0501251,9.77504,1.9335022
248523,2015-06-23 11:46:52.576,0.7728119,9.879776,1.9573059
248525,2015-06-23 11:46:52.596,0.61094666,9.770279,1.9632568
248527,2015-06-23 11:46:52.617,0.7537689,9.696487,1.9156494
248529,2015-06-23 11:46:52.637,1.029892,9.708389,1.8632813
248531,2015-06-23 11:46:52.657,1.3321991,9.748856,1.7954407
248533,2015-06-23 11:46:52.677,1.5357208,9.746475,1.707367
248535,2015-06-23 11:46:52.696,1.3512421,9.732193,1.6311951
248537,2015-06-23 11:46:52.717,1.27388,9.83931,1.6752319
248539,2015-06-23 11:46:52.736,1.260788,9.763138,1.5014648
248541,2015-06-23 11:46:52.756,1.2322235,9.665543,1.5133667
248543,2015-06-23 11:46:52.776,1.3107758,9.734573,1.6942749
248545,2015-06-23 11:46:52.796,1.6535492,9.709579,1.5812073
248547,2015-06-23 11:46:52.815,1.5511932,9.611984,1.5978699
248549,2015-06-23 11:46:52.835,1.1977081,9.502487,1.6835632
248551,2015-06-23 11:46:52.855,1.0263214,9.1644745,1.8847046
248553,2015-06-23 11:46:52.875,0.96562195,9.039505,2.098938
248555,2015-06-23 11:46:52.895,1.1215363,9.232315,2.060852
248557,2015-06-23 11:46:52.915,1.376236,9.432266,1.881134
248559,2015-06-23 11:46:52.937,1.7844696,9.446548,1.8335266
248561,2015-06-23 11:46:52.956,1.9772797,9.451309,2.4595642
248563,2015-06-23 11:46:52.976,2.1569977,9.763138,2.4488525
248565,2015-06-23 11:46:52.996,1.9891815,10.021408,1.7597351
248567,2015-06-23 11:46:53.016,2.2855377,10.230881,0.62905884
248569,2015-06-23 11:46:53.036,2.511673,10.604599,0.8206787
248571,2015-06-23 11:46:53.055,2.5033417,11.100906,1.4026794
248573,2015-06-23 11:46:53.075,1.902298,11.267532,1.3169861
248575,2015-06-23 11:46:53.095,1.7975616,10.330856,1.2098694
248577,2015-06-23 11:46:53.115,2.390274,9.413223,1.5228882
248579,2015-06-23 11:46:53.135,2.5688019,8.269455,1.3526917
248581,2015-06-23 11:46:53.154,1.6154633,7.7731476,1.2705688
248583,2015-06-23 11:46:53.176,1.4143219,7.53273,1.419342
248585,2015-06-23 11:46:53.194,1.0584564,7.1899567,0.7052307
248587,2015-06-23 11:46:53.216,0.6395111,7.3565826,0.25891113
248589,2015-06-23 11:46:53.234,1.8987274,8.132584,-0.883667
248591,2015-06-23 11:46:53.255,1.523819,8.508682,-0.7741699
248593,2015-06-23 11:46:53.273,2.3950348,8.959763,0.066101074
248595,2015-06-23 11:46:53.295,3.403122,9.302536,1.7942505
