,epoch,load.txt.data.x,load.txt.data.y,load.txt.data.z
233325,2015-06-23 11:44:18.875,0.747818,9.663162,1.6145325
233327,2015-06-23 11:44:18.894,0.7978058,9.540573,1.7597351
233329,2015-06-23 11:44:18.915,0.812088,9.446548,2.0953674
233331,2015-06-23 11:44:18.936,0.8620758,9.149002,2.1620178
233333,2015-06-23 11:44:18.956,0.9061127,8.780045,2.1346436
233335,2015-06-23 11:44:18.976,1.2215118,8.663406,2.1596375
233337,2015-06-23 11:44:18.996,1.6440277,9.021652,1.9561157
233339,2015-06-23 11:44:19.016,1.8332672,9.90596,1.2943726
233341,2015-06-23 11:44:19.036,2.0796356,10.626022,0.3695984
233343,2015-06-23 11:44:19.055,2.286728,10.7617035,0.4933777
233345,2015-06-23 11:44:19.075,2.3057709,10.731949,0.6076355
233347,2015-06-23 11:44:19.095,2.1296234,10.509384,0.56240845
233349,2015-06-23 11:44:19.115,1.7154388,10.324905,0.56121826
233351,2015-06-23 11:44:19.135,1.5464325,9.961899,0.4600525
233353,2015-06-23 11:44:19.155,1.5261993,9.448929,0.6147766
233355,2015-06-23 11:44:19.176,1.9118195,9.044266,0.66000366
233357,2015-06-23 11:44:19.196,2.2379303,8.8181305,0.77783203
233359,2015-06-23 11:44:19.216,2.0605927,8.722916,0.87423706
233361,2015-06-23 11:44:19.236,1.9165802,8.993088,0.5481262
233363,2015-06-23 11:44:19.256,1.5666656,9.245407,0.2291565
233365,2015-06-23 11:44:19.276,1.5726166,9.359665,0.039916992
233367,2015-06-23 11:44:19.296,1.8273163,9.445358,0.055389404
233369,2015-06-23 11:44:19.315,2.036789,9.565567,0.113708496
233371,2015-06-23 11:44:19.335,2.0962982,9.745285,0.21368408
233373,2015-06-23 11:44:19.355,2.1796112,9.946426,0.3017578
233375,2015-06-23 11:44:19.375,2.2736359,10.027359,0.6992798
233377,2015-06-23 11:44:19.395,2.3605194,10.1011505,0.976593
233379,2015-06-23 11:44:19.415,1.9130096,10.230881,0.9016113
233381,2015-06-23 11:44:19.437,1.9737091,10.321335,1.3562622
233383,2015-06-23 11:44:19.456,2.127243,10.520096,1.4848022
233385,2015-06-23 11:44:19.476,2.2736359,11.077103,0.43981934
233387,2015-06-23 11:44:19.496,2.2498322,11.410355,-0.15289307
233389,2015-06-23 11:44:19.516,2.350998,11.6662445,0.46600342
233391,2015-06-23 11:44:19.536,2.4819183,12.352982,0.44100952
233393,2015-06-23 11:44:19.556,1.8880157,11.835251,0.25772095
233395,2015-06-23 11:44:19.575,1.3405304,11.584122,1.4502869
233397,2015-06-23 11:44:19.596,0.48954773,11.499619,1.1575012
233399,2015-06-23 11:44:19.615,-0.3066864,10.587936,1.0551453
233401,2015-06-23 11:44:19.637,0.55500793,9.308487,1.0646667
233403,2015-06-23 11:44:19.655,1.4012299,8.164719,1.207489
233405,2015-06-23 11:44:19.677,1.6571198,7.545822,1.2241516
233407,2015-06-23 11:44:19.696,1.2941132,7.4791718,2.4869385
233409,2015-06-23 11:44:19.717,-0.07221985,8.013565,3.6235657
233411,2015-06-23 11:44:19.736,-1.0493622,9.412033,3.6664124
233413,2015-06-23 11:44:19.756,-1.010086,10.48558,2.009674
233415,2015-06-23 11:44:19.776,0.16700745,9.901199,1.1420288
233417,2015-06-23 11:44:19.796,0.71925354,8.7669525,2.0191956
233419,2015-06-23 11:44:19.815,0.51097107,8.417038,2.996338
233421,2015-06-23 11:44:19.835,0.10392761,8.659836,3.177246
233423,2015-06-23 11:44:19.855,-0.5459137,9.206131,2.2358093
233425,2015-06-23 11:44:19.875,-0.68992615,9.501297,1.4729004
233427,2015-06-23 11:44:19.894,-0.10316467,9.182327,1.3848267
233429,2015-06-23 11:44:19.915,0.9203949,8.596756,1.4681396
233431,2015-06-23 11:44:19.936,1.639267,8.405136,1.4788513
233433,2015-06-23 11:44:19.956,1.8356476,8.658646,1.1289368
233435,2015-06-23 11:44:19.976,1.3798065,9.157333,0.70999146
233437,2015-06-23 11:44:19.996,0.65260315,9.725052,0.53741455
233439,2015-06-23 11:44:20.016,0.0717926,10.0952,0.2612915
233441,2015-06-23 11:44:20.035,0.24794006,9.974991,-0.1005249
233443,2015-06-23 11:44:20.055,-0.1341095,10.104721,0.47433472
