,epoch,load.txt.data.x,load.txt.data.y,load.txt.data.z
189323,2015-06-23 11:36:55.490,-2.8477325,9.058548,1.3372192
189325,2015-06-23 11:36:55.510,-3.691574,9.193039,0.93969727
189327,2015-06-23 11:36:55.529,-3.7022858,9.416794,0.732605
189329,2015-06-23 11:36:55.549,-2.978653,9.760757,0.33746338
189331,2015-06-23 11:36:55.569,-2.4454498,10.264206,0.4993286
189333,2015-06-23 11:36:55.589,-2.6751556,10.042831,1.0182495
189335,2015-06-23 11:36:55.608,-2.587082,9.644119,0.995636
189337,2015-06-23 11:36:55.630,-2.433548,9.442978,0.6754761
189339,2015-06-23 11:36:55.648,-2.3740387,9.289444,0.87542725
189341,2015-06-23 11:36:55.668,-2.158615,9.39299,1.0706177
189343,2015-06-23 11:36:55.688,-2.5918427,9.335861,0.9111328
189345,2015-06-23 11:36:55.709,-2.7775116,9.426315,0.6826172
189347,2015-06-23 11:36:55.729,-2.6144562,9.484634,0.6159668
189349,2015-06-23 11:36:55.749,-2.4156952,9.3441925,0.62072754
189351,2015-06-23 11:36:55.769,-2.5632782,9.335861,0.5481262
189353,2015-06-23 11:36:55.789,-2.8036957,9.570328,0.67071533
189355,2015-06-23 11:36:55.809,-2.870346,9.628647,0.85162354
189357,2015-06-23 11:36:55.828,-3.1762238,9.748856,0.848053
189359,2015-06-23 11:36:55.848,-3.3273773,9.892868,1.040863
189361,2015-06-23 11:36:55.868,-2.8560638,9.938095,0.61120605
189363,2015-06-23 11:36:55.888,-2.5442352,9.854782,0.5755005
189365,2015-06-23 11:36:55.907,-2.722763,9.757187,0.21487427
189367,2015-06-23 11:36:55.928,-3.1119537,9.65126,0.04586792
189369,2015-06-23 11:36:55.947,-3.145279,9.657211,0.335083
189371,2015-06-23 11:36:55.969,-3.0119781,9.528671,0.713562
189373,2015-06-23 11:36:55.987,-2.7727509,8.979996,0.58740234
189375,2015-06-23 11:36:56.007,-2.4752045,9.079971,0.2874756
189377,2015-06-23 11:36:56.028,-2.2490692,9.8059845,0.9551697
189379,2015-06-23 11:36:56.048,-2.0598297,10.990219,2.3000793
189381,2015-06-23 11:36:56.068,-2.5097198,10.696243,1.85495
189383,2015-06-23 11:36:56.088,-2.4478302,9.938095,1.9727783
189385,2015-06-23 11:36:56.107,-3.2988129,9.032364,0.45767212
189387,2015-06-23 11:36:56.128,-3.0357819,9.168045,0.6016846
189389,2015-06-23 11:36:56.147,-2.6846771,10.061874,0.6004944
189391,2015-06-23 11:36:56.167,-1.7134857,10.047592,1.5812073
189393,2015-06-23 11:36:56.187,-1.1874237,9.835739,2.535736
189395,2015-06-23 11:36:56.207,-1.0446014,9.219223,3.0986938
189397,2015-06-23 11:36:56.227,-0.9160614,9.010941,2.7225952
189399,2015-06-23 11:36:56.246,-0.36738586,9.363235,2.419098
189401,2015-06-23 11:36:56.267,-0.10197449,9.795273,1.835907
189403,2015-06-23 11:36:56.286,-0.7446747,9.995224,2.1608276
189405,2015-06-23 11:36:56.308,-1.6468353,9.989273,2.490509
189407,2015-06-23 11:36:56.326,-2.3466644,9.746475,2.5702515
189409,2015-06-23 11:36:56.346,-1.9348602,9.683395,2.0370483
189411,2015-06-23 11:36:56.367,-0.79704285,9.629837,2.1025085
189413,2015-06-23 11:36:56.387,-0.7089691,9.396561,1.7752075
189415,2015-06-23 11:36:56.407,-1.9300995,9.298965,2.138214
189417,2015-06-23 11:36:56.427,-1.8301239,9.576279,2.0489502
189419,2015-06-23 11:36:56.446,-1.362381,9.692917,1.4788513
189421,2015-06-23 11:36:56.467,-1.2040863,9.681015,1.3443604
189423,2015-06-23 11:36:56.486,-0.8767853,9.855972,1.2015381
189425,2015-06-23 11:36:56.506,-0.87797546,9.846451,1.5074158
189427,2015-06-23 11:36:56.526,-1.4754486,9.588181,1.387207
189429,2015-06-23 11:36:56.546,-1.1421967,9.141861,0.99801636
189431,2015-06-23 11:36:56.565,-0.87202454,9.38942,0.8730469
189433,2015-06-23 11:36:56.586,-1.0565033,9.409653,1.7930603
189435,2015-06-23 11:36:56.605,-1.4802094,9.738144,0.9194641
189437,2015-06-23 11:36:56.627,-1.606369,9.816696,0.9920654
189439,2015-06-23 11:36:56.645,-1.6111298,9.875015,0.48980713
189441,2015-06-23 11:36:56.665,-1.0219879,9.855972,-0.019592285
189443,2015-06-23 11:36:56.687,-1.5718536,10.335617,-0.14575195
189445,2015-06-23 11:36:56.706,-3.1512299,11.2877655,2.913025
189447,2015-06-23 11:36:56.726,-3.549942,11.25087,3.5176392
189449,2015-06-23 11:36:56.746,-2.049118,10.903336,2.8059082
189451,2015-06-23 11:36:56.766,-0.63041687,9.678635,2.4429016
189453,2015-06-23 11:36:56.786,-0.57447815,8.518204,0.9432678
189455,2015-06-23 11:36:56.805,-1.9872284,7.737442,1.4098206
189457,2015-06-23 11:36:56.825,-3.582077,8.056412,2.1739197
189459,2015-06-23 11:36:56.845,-4.5080414,8.618179,2.7940063
189461,2015-06-23 11:36:56.865,-4.11528,9.154953,2.727356
189463,2015-06-23 11:36:56.885,-2.6620636,9.571518,2.1036987
189465,2015-06-23 11:36:56.904,-1.6777802,10.074966,2.2001038
189467,2015-06-23 11:36:56.926,-1.8955841,10.409409,2.3595886
189469,2015-06-23 11:36:56.944,-2.4621124,10.264206,2.1846313
189471,2015-06-23 11:36:56.966,-2.6799164,9.470352,1.9739685
189473,2015-06-23 11:36:56.984,-2.671585,9.207321,1.7383118
189475,2015-06-23 11:36:57.005,-2.5739899,9.516769,1.572876
189477,2015-06-23 11:36:57.025,-2.588272,9.51796,1.6764221
189479,2015-06-23 11:36:57.045,-2.6870575,9.26683,1.6454773
189481,2015-06-23 11:36:57.065,-2.8001251,8.909775,1.47052
189483,2015-06-23 11:36:57.085,-3.016739,8.822891,1.451477
189485,2015-06-23 11:36:57.104,-3.4059296,8.694351,1.7823486
189487,2015-06-23 11:36:57.125,-3.08815,8.983566,1.3312683
189489,2015-06-23 11:36:57.144,-2.7668,8.988327,1.0777588
189491,2015-06-23 11:36:57.164,-2.2871552,9.551285,1.2991333
189493,2015-06-23 11:36:57.184,-2.1812286,9.744095,1.0003967
189495,2015-06-23 11:36:57.203,-2.5799408,9.508438,0.21130371
189497,2015-06-23 11:36:57.224,-3.492813,9.492966,0.5171814
189499,2015-06-23 11:36:57.243,-2.978653,9.934525,0.6885681
189501,2015-06-23 11:36:57.265,-2.6953888,10.064255,1.3598328
189503,2015-06-23 11:36:57.283,-1.93367,10.170181,0.48147583
189505,2015-06-23 11:36:57.305,-1.7908478,9.445358,0.73379517
189507,2015-06-23 11:36:57.323,-2.6632538,8.632462,0.25057983
189509,2015-06-23 11:36:57.344,-2.9691315,8.912155,1.1479797
189511,2015-06-23 11:36:57.364,-2.1526642,9.439407,0.11013794
189513,2015-06-23 11:36:57.384,-2.094345,10.919998,1.6954651
189515,2015-06-23 11:36:57.404,-3.2274017,10.665298,2.6690369
189517,2015-06-23 11:36:57.424,-2.4633026,10.437973,3.6628418
189519,2015-06-23 11:36:57.443,-1.8027496,9.689346,1.7359314
189521,2015-06-23 11:36:57.463,-1.5349579,9.442978,1.3181763
189523,2015-06-23 11:36:57.483,-1.8991547,9.45488,1.2610474
189525,2015-06-23 11:36:57.503,-0.78990173,9.698868,1.7299805
189527,2015-06-23 11:36:57.523,0.012283325,10.199936,2.6726074
189529,2015-06-23 11:36:57.543,-0.06388855,10.304672,2.8344727
189531,2015-06-23 11:36:57.562,0.1051178,9.935715,2.3000793
189533,2015-06-23 11:36:57.584,-1.1362457,9.802414,2.477417
189535,2015-06-23 11:36:57.602,-2.2633514,9.677444,2.6464233
189537,2015-06-23 11:36:57.624,-2.228836,9.598892,2.534546
189539,2015-06-23 11:36:57.644,-1.4504547,9.686966,2.1584473
189541,2015-06-23 11:36:57.663,-1.1291046,9.727432,2.0941772
189543,2015-06-23 11:36:57.684,-1.3064423,9.782181,1.8406677
189545,2015-06-23 11:36:57.703,-1.8682098,9.26326,1.9394531
189547,2015-06-23 11:36:57.723,-1.7848969,8.983566,2.0037231
189549,2015-06-23 11:36:57.743,-1.426651,9.285873,1.9608765
189551,2015-06-23 11:36:57.763,-1.048172,9.566757,2.106079
189553,2015-06-23 11:36:57.782,-1.0493622,9.488205,2.3226929
189555,2015-06-23 11:36:57.802,-1.2052765,9.13591,1.4609985
189557,2015-06-23 11:36:57.822,-1.1886139,9.432266,1.3443604
189559,2015-06-23 11:36:57.842,-1.0493622,9.727432,1.5097961
189561,2015-06-23 11:36:57.862,-0.9232025,9.740524,1.4943237
189563,2015-06-23 11:36:57.882,-1.0838776,10.014267,1.1170349
189565,2015-06-23 11:36:57.901,-1.8705902,10.002365,1.0456238
189567,2015-06-23 11:36:57.923,-1.7765656,9.785751,0.5326538
189569,2015-06-23 11:36:57.941,-1.4385529,9.796463,1.2336731
189571,2015-06-23 11:36:57.963,-1.0910187,9.489395,1.2669983
189573,2015-06-23 11:36:57.982,-1.5444794,9.890488,2.2929382
189575,2015-06-23 11:36:58.002,-2.863205,10.154709,3.1712952
189577,2015-06-23 11:36:58.022,-2.9905548,10.457016,2.156067
189579,2015-06-23 11:36:58.042,-1.471878,10.0690155,2.1917725
189581,2015-06-23 11:36:58.062,-0.043655396,9.52272,1.7466431
189583,2015-06-23 11:36:58.082,0.22294617,8.794327,1.361023
189585,2015-06-23 11:36:58.101,-0.85536194,8.346817,1.7787781
189587,2015-06-23 11:36:58.121,-2.8239288,8.317062,2.1334534
